experiment_id,date,owner,stage,dataset,model,purpose,status,primary_metric,result_path,notes
EXP-20260905-CAMPUS-V05,2026-09-05,王思丹,模型优化,china_school_annotated_v0.5,small U-Net,保留ignore区的植被语义分割与ExG对比,completed,Holdout IoU=0.5613; Dice=0.7190; coverage MAE=15.23pp,AI/runs/campus_v05,50张公开校园实拍辅助标签；35/10/5学校分组；非独立人工真值；网页可选试验版
EXP-20260815-01,2026-08-15,王思丹,流程基线,tree.png,ExG+Otsu,验证RGB植被提取与覆盖率统计流程,completed,coverage=49.96%,docs/evidence/EXP-20260815-01,插画流程验证；非训练模型；非NDVI
EXP-20260902-BATCH-V1,2026-09-02,王思丹,批量实验流程,AI/input,yolo26n.pt+ExG+Otsu,验证批量图片识别与植被覆盖率记录流程,completed,tree_coverage=49.96%; images=3,AI/runs/batch_experiments/EXP-20260902-BATCH-V1,通用YOLO对森林树图无检出；当前结果用于流程验证；正式训练依赖dataset_v1
EXP-20260902-BOOTSTRAP-TREE-SEG-V1,2026-09-02,王思丹,模型训练,AI/datasets/vegetation_v1,yolo26n-seg.pt,用伪标注植被数据跑通YOLO分割模型训练流程,completed,Mask mAP50=0.3553; Mask Recall=0.9,AI/runs/segment/EXP-20260902-BOOTSTRAP-TREE-SEG-V1,bootstrap伪标注训练；可证明训练流程和权重产出；不作为正式论文精度
EXP-20260902-DEMO-TRAINED-MODEL,2026-09-02,王思丹,Demo接入,AI/input/tree.png,best.pt,将bootstrap训练权重接入本地API和Vue展示Demo,completed,detection_count=20; inference_ms=43.83,AI/runs/api,本地API优先使用训练权重；无权重时回退通用YOLO
EXP-20260902-ALPHA-DEMO-V01,2026-09-02,王思丹,AI Alpha Demo,AI/input/tree.png,best.pt+ExG/Otsu,图片识别Demo加入植被覆盖率和植被叠加图输出,completed,detection_count=20; vegetation_coverage=49.96%,AI/runs/api,Vue页面展示识别目标和植被分析；正式论文仍需真实标注数据
EXP-20260902-PUBLIC-TREE-SEG-ALPHA,2026-09-02,王思丹,模型优化,AI/datasets/vegetation_v2_public,yolo26n-seg.pt,使用公开森林图片伪标注数据训练Alpha树木分割模型,completed,Mask mAP50=0.0080; Mask Recall=0.1667,AI/runs/segment/EXP-20260902-PUBLIC-TREE-SEG-ALPHA,训练链路完成但指标偏低；暂不替换Demo主模型
EXP-20260902-REVIEW-SUBSET-TREE-SEG-ALPHA,2026-09-02,王思丹,模型优化,AI/datasets/vegetation_v2_public_review_subset,yolo26n-seg.pt,筛选伪标注质量较好的公开森林样例后重新训练,completed,Mask mAP50=0.1650; Mask Recall=0.1667,AI/runs/segment/EXP-20260902-REVIEW-SUBSET-TREE-SEG-ALPHA,相对全量Public Alpha有提升；仍需人工修标；暂不替换Demo
EXP-20260902-AUTO-REFINED-TREE-SEG-ALPHA-V02,2026-09-02,王思丹,模型优化,AI/datasets/vegetation_v2_public_auto_refined,yolo26n-seg.pt,用严格HSV+ExG规则自动修标后训练Alpha V0.2,completed,Mask mAP50=0.0058; Mask Recall=0.3333,AI/runs/segment/EXP-20260902-AUTO-REFINED-TREE-SEG-ALPHA-V02,自动修标总览更干净但指标未提升；不能替代人工修标
EXP-20260902-HUMAN-REVIEWED-SEED-TREE-SEG-ALPHA-V03,2026-09-02,王思丹,模型优化,AI/datasets/vegetation_v2_public_human_reviewed_seed,yolo26n-seg.pt,使用人工审核种子集训练Alpha V0.3,completed,Mask mAP50=0.0000; Box mAP50=0.0073,AI/runs/segment/EXP-20260902-HUMAN-REVIEWED-SEED-TREE-SEG-ALPHA-V03,只筛选好图不足以提升模型；需要真实人工多边形修标
EXP-20260902-HUMAN-CORRECTED-TREE-SEG-ALPHA-V04,2026-09-02,王思丹,模型优化,AI/datasets/vegetation_v2_public_human_corrected_v04,yolo26n-seg.pt,使用机器辅助人工精修LabelMe数据训练Alpha V0.4,completed,Mask mAP50=0.3350; Mask Recall=0.3330,AI/runs/segment/EXP-20260902-HUMAN-CORRECTED-TREE-SEG-ALPHA-V04,修标导回训练闭环完成；默认阈值预测不稳定；暂不替换Demo主模型
